Id;Tipo;Corpo Descricao;Data Publicado;Busca Parametro 2;Id Externo
42261167;twittersearch;RT @valor_economico: Bovespa sobe 1,46% e retoma os 69 mil pontos http://is.gd/jIMKF;03/01/11 16:37;pt;camposegarcia
42261168;twittersearch;RT @valor_economico: Bovespa sobe 1,34% e volta a registrar alta em 2010 http://is.gd/jJ609;03/01/11 16:37;pt;camposegarcia
42261169;twittersearch;RT @valor_economico: Bovespa ensaia alta no último pregão do ano http://is.gd/jLAmH;03/01/11 16:36;pt;camposegarcia
42261170;twittersearch;RT @valor_economico: Bovespa começa com alta de 0,53%, a 69.318 pontos http://is.gd/jLLwq;03/01/11 16:36;pt;camposegarcia
42261171;twittersearch;RT @valor_economico: Bovespa segue em alta e dólar cai a R$ 1,666 http://is.gd/jLUyo;03/01/11 16:36;pt;camposegarcia
42261172;twittersearch;RT @valor_economico: Bovespa retoma os 69 mil pontos e sobe 1,2% no ano http://is.gd/jMabM;03/01/11 16:35;pt;camposegarcia
42266831;twittersearch;Amigos Administradores para qm tem interesse .. Curso Aprenda a INVESTIR NA BOLSA de R$250,00 por R$79,00. (Econométrica) sigam @vidafacil10;03/01/11 16:35;pt;sisleyrocha
42262189;twittersearch;BM&FBovespa abre inscrições a empreendedores brasileiros  http://is.gd/k1Xpz;03/01/11 16:34;all;AgenciaIN
42261173;twittersearch;RT @EpocaNEGOCIOS: Bovespa em alta: Valor de empresas brasileiras abertas atinge US$ 1,5 trilhão http://bit.ly/fqlzqh;03/01/11 16:34;pt;PauloTheFaria
42261174;twittersearch;Bovespa encerra 2010 com valor de mercado recorde de US$ 1,5 trilhão http://ht.ly/1aHXVB;03/01/11 16:34;pt;volarecom
42261176;twittersearch;RT @EpocaNEGOCIOS: Bovespa em alta: Valor de empresas brasileiras abertas atinge US$ 1,5 trilhão http://bit.ly/fqlzqh;03/01/11 16:34;pt;elizeu_costa
42261175;twittersearch;RT @Bolsadefinancas: No 1o pregão do ano, Bovespa já bate os 70k pontos. Vale é uma das responsáveis pela alta. http://tinyurl.com/33ds6k6;03/01/11 16:34;pt;andretorres
